Deporte,Empates
Artistic Gymnastics (Gymnastics),10438
Boxing,5567
Judo,3480
Shooting,2844
Tennis,2811
Football (Football),2565
Fencing,1966
Table Tennis,1965
Badminton,1382
Athletics,1221
Swimming (Aquatics),1173
Wrestling,1123
Volleyball (Volleyball),936
Ice Hockey (Ice Hockey),647
Equestrian Jumping (Equestrian),631
Water Polo (Aquatics),605
Taekwondo,604
Hockey,545
Beach Volleyball (Volleyball),542
Archery,527
Speed Skating (Skating),492
Cycling Road (Cycling),458
Cycling Track (Cycling),429
Alpine Skiing (Skiing),416
Basketball (Basketball),309
Cross Country Skiing (Skiing),299
Golf,295
Ski Jumping (Skiing),216
Curling,166
Nordic Combined (Skiing),120
Snowboarding (Skiing),119
Canoe Sprint (Canoeing),113
Biathlon,98
Bobsleigh (Bobsleigh),95
Weightlifting,94
Karate,60
Equestrian Dressage (Equestrian),56
Sailing,54
Rowing,52
Diving (Aquatics),50
Freestyle Skiing (Skiing),45
Modern Pentathlon,43
Tug-Of-War,39
Rugby (Rugby),36
Mixed Sports,31
Surfing,30
Polo,28
Luge,26
Rhythmic Gymnastics (Gymnastics),21
Baseball (Baseball/Softball),18
Jeu De Paume,9
Skeleton (Bobsleigh),9
Short Track Speed Skating (Skating),9
Equestrian Eventing (Equestrian),9
Figure Skating (Skating),8
Artistic Swimming (Aquatics),6
Military Ski Patrol (Skiing),3
Croquet,2
Racquets,2
Triathlon,1
Ballooning (Air Sports),1
Handball,1
