NOC,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
USA,20,59,411,65,107,194,193,98,215,108,164,160,144,139,160,157,178,166,30,361,214,238,19,259,34,241,84,263,52,319,101,258,67,270,61,316,46
URS,0,0,0,0,0,0,0,0,0,0,0,117,206,211,220,224,256,340,484,56,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GER,32,45,14,21,52,0,0,74,52,215,0,52,42,98,126,0,0,0,0,0,0,236,40,124,44,118,61,149,54,99,59,103,40,164,78,108,57
GBR,9,100,2,368,170,110,82,57,34,54,59,32,39,28,30,19,29,33,46,74,53,50,3,26,4,54,6,57,1,87,6,128,20,145,5,133,8
FRA,11,253,0,40,25,139,117,48,39,45,74,41,33,15,38,36,25,21,30,70,31,69,11,51,15,66,15,53,15,78,28,86,19,97,26,165,23
ITA,0,5,0,8,23,82,53,71,77,71,64,56,50,89,61,41,34,35,40,65,37,66,32,71,17,65,21,104,25,43,14,67,20,72,15,85,24
SWE,0,4,0,84,190,154,79,53,34,44,86,92,44,16,43,25,26,12,41,64,46,42,24,31,7,32,26,12,64,7,21,25,52,28,30,66,21
CAN,0,0,48,51,8,16,29,45,58,35,21,21,36,30,12,30,11,23,2,91,29,80,37,50,49,31,74,17,69,36,99,58,91,71,91,107,65
AUS,3,4,0,0,0,6,9,4,5,1,16,20,61,37,42,50,20,23,12,52,35,57,4,132,1,183,2,157,2,149,20,113,14,83,3,125,4
CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,52,85,3,106,14,79,16,94,13,184,43,134,43,118,14,147,26
