posicion,cantidad
1,16719
2,17718
3,18503
4,17774
5,21693
6,15806
7,14729
8,12133
9,16129
10,8272
11,8313
12,7191
13,6524
14,5167
15,4882
16,4612
17,8662
18,3606
19,3735
20,3339
21,3116
22,2836
23,2733
24,2571
25,2675
26,2369
27,2187
28,2148
29,2064
30,1933
31,1814
32,1746
33,3025
34,1557
35,1458
36,1409
37,1266
38,1239
39,1193
40,1109
41,1117
42,1046
43,977
44,963
45,880
46,871
47,803
48,764
49,990
50,745
51,716
52,643
53,621
54,642
55,623
56,587
57,549
58,528
59,490
60,533
61,528
62,455
63,465
64,419
65,480
66,367
67,383
68,383
69,371
70,313
71,346
72,299
73,309
74,295
75,297
76,253
77,279
78,255
79,283
80,234
81,245
82,218
83,236
84,208
85,211
86,185
87,189
88,167
89,161
90,144
91,145
92,130
93,106
94,125
95,124
96,104
97,99
98,97
99,91
100,103
101,91
102,86
103,76
104,89
105,76
106,80
107,76
108,79
109,66
110,68
111,74
112,59
113,60
114,55
115,49
116,59
117,52
118,50
119,41
120,40
121,43
122,36
123,37
124,31
125,30
126,32
127,28
128,32
129,24
130,17
131,16
132,13
133,13
134,12
135,6
136,7
137,15
138,5
139,5
140,8
141,5
142,11
143,5
144,8
145,7
146,6
147,8
148,9
149,5
150,6
151,7
152,6
153,8
154,8
155,5
156,6
157,10
158,6
159,6
160,5
161,9
162,8
163,5
164,7
165,6
166,8
167,6
168,7
169,8
170,7
171,6
172,7
173,8
174,7
175,6
176,7
177,7
178,7
179,7
180,7
181,7
182,8
183,6
184,7
185,7
