Año,Juegos,Medalla
1896,Verano,562
1900,Verano,2395
1904,Verano,1895
1908,Verano,3690
1912,Verano,4883
1920,Verano,4547
1924,Invierno,551
1924,Verano,5562
1928,Invierno,636
1928,Verano,4609
1932,Invierno,550
1932,Verano,2105
1936,Invierno,977
1936,Verano,6096
1948,Invierno,1150
1948,Verano,6352
1952,Invierno,1120
1952,Verano,8770
1956,Invierno,1349
1956,Verano,5215
1960,Invierno,1143
1960,Verano,8417
1964,Invierno,1804
1964,Verano,7957
1968,Invierno,1920
1968,Verano,8995
1972,Invierno,1678
1972,Verano,10624
1976,Invierno,1881
1976,Verano,8963
1980,Invierno,1762
1980,Verano,7402
1984,Invierno,2149
1984,Verano,9768
1988,Invierno,2887
1988,Verano,12290
1992,Invierno,3544
1992,Verano,13088
1994,Invierno,3205
1996,Verano,13880
1998,Invierno,3682
2000,Verano,13907
2002,Invierno,4158
2004,Verano,13559
2006,Invierno,4438
2008,Verano,13708
2010,Invierno,4417
2010,Verano,752
2012,Invierno,412
2012,Verano,12975
2014,Invierno,4940
2014,Verano,592
2016,Invierno,284
2016,Verano,13742
2018,Invierno,5140
2018,Verano,47
2020,Invierno,3988
2020,Verano,13951
2022,Invierno,4744
